iso_code,tax_category,form,rate,label,source_note,effective_from
GB,REGULATORY_TAX,PERCENTAGE,0.020000,UK Digital Services Tax (DST) 2%,Default starting point: UK DST headline rate commonly passed through by ad platforms as a per-country surcharge. Confirm against your platform invoice and your tax advisor before use.,2020-04-01
FR,REGULATORY_TAX,PERCENTAGE,0.030000,France Digital Services Tax (TSN/GAFA) 3%,Default starting point: French DST headline rate commonly passed through by ad platforms. Confirm against your platform invoice and your tax advisor before use.,2019-01-01
ES,REGULATORY_TAX,PERCENTAGE,0.030000,Spain Digital Services Tax (IDSD) 3%,Default starting point: Spanish DST headline rate commonly passed through by ad platforms. Confirm against your platform invoice and your tax advisor before use.,2021-01-16
IT,REGULATORY_TAX,PERCENTAGE,0.030000,Italy Digital Services Tax (ISD) 3%,Default starting point: Italian DST headline rate commonly passed through by ad platforms. Confirm against your platform invoice and your tax advisor before use.,2020-01-01
GB,SALES_TAX,PERCENTAGE,0.200000,United Kingdom standard VAT 20%,Default starting point: standard VAT rate. Reduced/zero rates and reverse-charge treatment are not modelled. Confirm with your tax advisor.,2011-01-04
FR,SALES_TAX,PERCENTAGE,0.200000,France standard VAT 20%,Default starting point: standard VAT rate. Reduced rates and reverse-charge treatment are not modelled. Confirm with your tax advisor.,2014-01-01
ES,SALES_TAX,PERCENTAGE,0.210000,Spain standard VAT (IVA) 21%,Default starting point: standard VAT rate. Reduced rates and reverse-charge treatment are not modelled. Confirm with your tax advisor.,2012-09-01
IT,SALES_TAX,PERCENTAGE,0.220000,Italy standard VAT (IVA) 22%,Default starting point: standard VAT rate. Reduced rates and reverse-charge treatment are not modelled. Confirm with your tax advisor.,2013-10-01
DE,SALES_TAX,PERCENTAGE,0.190000,Germany standard VAT (USt) 19%,Default starting point: standard VAT rate. Reduced rates and reverse-charge treatment are not modelled. Confirm with your tax advisor.,2007-01-01
BE,SALES_TAX,PERCENTAGE,0.210000,Belgium standard VAT (TVA/BTW) 21%,Default starting point: standard VAT rate. Reduced rates and reverse-charge treatment are not modelled. Confirm with your tax advisor.,1996-01-01
NL,SALES_TAX,PERCENTAGE,0.210000,Netherlands standard VAT (BTW) 21%,Default starting point: standard VAT rate. Reduced rates and reverse-charge treatment are not modelled. Confirm with your tax advisor.,2012-10-01
PT,SALES_TAX,PERCENTAGE,0.230000,Portugal standard VAT (IVA) 23%,Default starting point: mainland standard VAT rate; Azores and Madeira differ and are not modelled. Confirm with your tax advisor.,2011-01-01
IE,SALES_TAX,PERCENTAGE,0.230000,Ireland standard VAT 23%,Default starting point: standard VAT rate. Reduced rates and reverse-charge treatment are not modelled. Confirm with your tax advisor.,2012-01-01
LU,SALES_TAX,PERCENTAGE,0.170000,Luxembourg standard VAT (TVA) 17%,Default starting point: standard VAT rate. Reduced rates and reverse-charge treatment are not modelled. Confirm with your tax advisor.,2015-01-01
AT,SALES_TAX,PERCENTAGE,0.200000,Austria standard VAT (USt) 20%,Default starting point: standard VAT rate. Reduced rates and reverse-charge treatment are not modelled. Confirm with your tax advisor.,1984-01-01
PL,SALES_TAX,PERCENTAGE,0.230000,Poland standard VAT (VAT) 23%,Default starting point: standard VAT rate. Reduced rates and reverse-charge treatment are not modelled. Confirm with your tax advisor.,2011-01-01
SE,SALES_TAX,PERCENTAGE,0.250000,Sweden standard VAT (moms) 25%,Default starting point: standard VAT rate. Reduced rates and reverse-charge treatment are not modelled. Confirm with your tax advisor.,1990-07-01
DK,SALES_TAX,PERCENTAGE,0.250000,Denmark standard VAT (moms) 25%,Default starting point: standard VAT rate. Reduced rates and reverse-charge treatment are not modelled. Confirm with your tax advisor.,1992-01-01
CH,SALES_TAX,PERCENTAGE,0.081000,Switzerland standard VAT (MWST) 8.1%,Default starting point: standard VAT rate effective 2024-01-01. Confirm with your tax advisor.,2024-01-01
