code,numeric_code,minor_unit,display_name,kind,status,aliases
AED,784,2,UAE Dirham,tender,active,AED|DIRHAM
AFN,971,2,Afghani,tender,active,AFN
ALL,008,2,Lek,tender,active,ALL
AMD,051,2,Armenian Dram,tender,active,AMD
ANG,532,2,Netherlands Antillean Guilder,tender,withdrawn,ANG
AOA,973,2,Kwanza,tender,active,AOA
ARS,032,2,Argentine Peso,tender,active,ARS
AUD,036,2,Australian Dollar,tender,active,AU$|AUD
AWG,533,2,Aruban Florin,tender,active,AWG
AZN,944,2,Azerbaijan Manat,tender,active,AZN
BAM,977,2,Convertible Mark,tender,active,BAM
BBD,052,2,Barbados Dollar,tender,active,BBD
BDT,050,2,Taka,tender,active,BDT
BGN,975,2,Bulgarian Lev,tender,active,BGN
BHD,048,3,Bahraini Dinar,tender,active,BHD
BIF,108,0,Burundi Franc,tender,active,BIF
BMD,060,2,Bermudian Dollar,tender,active,BMD
BND,096,2,Brunei Dollar,tender,active,BND
BOB,068,2,Boliviano,tender,active,BOB
BOV,984,2,Mvdol,fund,active,BOV
BRL,986,2,Brazilian Real,tender,active,BRL|R$
BSD,044,2,Bahamian Dollar,tender,active,BSD
BTN,064,2,Ngultrum,tender,active,BTN
BWP,072,2,Pula,tender,active,BWP
BYN,933,2,Belarusian Ruble,tender,active,BYN
BZD,084,2,Belize Dollar,tender,active,BZD
CAD,124,2,Canadian Dollar,tender,active,CA$|CAD
CDF,976,2,Congolese Franc,tender,active,CDF
CHE,947,2,WIR Euro,fund,active,CHE
CHF,756,2,Swiss Franc,tender,active,CHF
CHW,948,2,WIR Franc,fund,active,CHW
CLF,990,4,Unidad de Fomento,fund,active,CLF
CLP,152,0,Chilean Peso,tender,active,CLP
CNY,156,2,Yuan Renminbi,tender,active,CNY|RMB
COP,170,2,Colombian Peso,tender,active,COP
COU,970,2,Unidad de Valor Real,fund,active,COU
CRC,188,2,Costa Rican Colon,tender,active,CRC
CUP,192,2,Cuban Peso,tender,active,CUP
CVE,132,2,Cabo Verde Escudo,tender,active,CVE
CZK,203,2,Czech Koruna,tender,active,CZK
DJF,262,0,Djibouti Franc,tender,active,DJF
DKK,208,2,Danish Krone,tender,active,DKK
DOP,214,2,Dominican Peso,tender,active,DOP
DZD,012,2,Algerian Dinar,tender,active,DZD
EGP,818,2,Egyptian Pound,tender,active,EGP
ERN,232,2,Nakfa,tender,active,ERN
ETB,230,2,Ethiopian Birr,tender,active,ETB
EUR,978,2,Euro,tender,active,EUR|EURO|€
FJD,242,2,Fiji Dollar,tender,active,FJD
FKP,238,2,Falkland Islands Pound,tender,active,FKP
GBP,826,2,Pound Sterling,tender,active,GBP|STERLING|£
GEL,981,2,Lari,tender,active,GEL
GHS,936,2,Ghana Cedi,tender,active,GHS
GIP,292,2,Gibraltar Pound,tender,active,GIP
