canonical_value,display_name,aliases
af,Afrikaans,af|AF|afr|Afrikaans|AFRIKAANS
ar,Arabic,ar|AR|ara|Arabic|ARABIC
bg,Bulgarian,bg|BG|bul|Bulgarian|BULGARIAN
bn,Bengali,bn|BN|ben|Bengali|BENGALI
ca,Catalan,ca|CA|cat|Catalan|CATALAN
cs,Czech,cs|CS|ces|cze|Czech|CZECH
da,Danish,da|DA|dan|Danish|DANISH
de,German,de|DE|deu|ger|German|GERMAN|Deutsch
el,Greek,el|EL|ell|gre|Greek|GREEK
en,English,en|EN|eng|English|ENGLISH
es,Spanish,es|ES|spa|Spanish|SPANISH|Espanol|Castilian
et,Estonian,et|ET|est|Estonian|ESTONIAN
eu,Basque,eu|EU|eus|baq|Basque|BASQUE
fa,Persian,fa|FA|fas|per|Persian|PERSIAN|Farsi
fi,Finnish,fi|FI|fin|Finnish|FINNISH
fil,Filipino,fil|FIL|Filipino|FILIPINO
fr,French,fr|FR|fra|fre|French|FRENCH|Francais
ga,Irish,ga|GA|gle|Irish|IRISH
gl,Galician,gl|GL|glg|Galician|GALICIAN
gu,Gujarati,gu|GU|guj|Gujarati|GUJARATI
he,Hebrew,he|HE|heb|iw|Hebrew|HEBREW
hi,Hindi,hi|HI|hin|Hindi|HINDI
hr,Croatian,hr|HR|hrv|Croatian|CROATIAN
hu,Hungarian,hu|HU|hun|Hungarian|HUNGARIAN
id,Indonesian,id|ID|ind|Indonesian|INDONESIAN
is,Icelandic,is|IS|isl|ice|Icelandic|ICELANDIC
it,Italian,it|IT|ita|Italian|ITALIAN|Italiano
ja,Japanese,ja|JA|jpn|Japanese|JAPANESE
kn,Kannada,kn|KN|kan|Kannada|KANNADA
ko,Korean,ko|KO|kor|Korean|KOREAN
lt,Lithuanian,lt|LT|lit|Lithuanian|LITHUANIAN
lv,Latvian,lv|LV|lav|Latvian|LATVIAN
ml,Malayalam,ml|ML|mal|Malayalam|MALAYALAM
mr,Marathi,mr|MR|mar|Marathi|MARATHI
ms,Malay,ms|MS|msa|may|Malay|MALAY
nb,Norwegian Bokmal,nb|NB|nob|Norwegian Bokmal|Bokmal
nl,Dutch,nl|NL|nld|dut|Dutch|DUTCH|Nederlands
no,Norwegian,no|NO|nor|Norwegian|NORWEGIAN
pa,Punjabi,pa|PA|pan|Punjabi|PUNJABI
pl,Polish,pl|PL|pol|Polish|POLISH
pt,Portuguese,pt|PT|por|Portuguese|PORTUGUESE|Portugues
ro,Romanian,ro|RO|ron|rum|Romanian|ROMANIAN
ru,Russian,ru|RU|rus|Russian|RUSSIAN
sk,Slovak,sk|SK|slk|slo|Slovak|SLOVAK
sl,Slovenian,sl|SL|slv|Slovenian|SLOVENIAN|Slovene
sq,Albanian,sq|SQ|sqi|alb|Albanian|ALBANIAN
sr,Serbian,sr|SR|srp|Serbian|SERBIAN
sv,Swedish,sv|SV|swe|Swedish|SWEDISH|Svenska
sw,Swahili,sw|SW|swa|Swahili|SWAHILI
ta,Tamil,ta|TA|tam|Tamil|TAMIL
te,Telugu,te|TE|tel|Telugu|TELUGU
th,Thai,th|TH|tha|Thai|THAI
tl,Tagalog,tl|TL|tgl|Tagalog|TAGALOG
tr,Turkish,tr|TR|tur|Turkish|TURKISH|Turkce
uk,Ukrainian,uk|UK|ukr|Ukrainian|UKRAINIAN
ur,Urdu,ur|UR|urd|Urdu|URDU
vi,Vietnamese,vi|VI|vie|Vietnamese|VIETNAMESE
zh,Chinese,zh|ZH|zho|chi|Chinese|CHINESE|Mandarin
