name,additive,aggregation_rule,ratio_numerator,ratio_denominator
sessions,true,sum,,
active_users,true,sum,,
conversions,true,sum,,
screen_page_views,true,sum,,
cost,true,sum,,
impressions,true,sum,,
clicks,true,sum,,
revenue,true,sum,,
roas,false,ratio,revenue,cost
ctr,false,ratio,clicks,impressions
cpa,false,ratio,cost,conversions
average_position,false,impression_weighted_average,,
installs,true,sum,,
ad_revenue,true,sum,,
all_revenue,true,sum,,
conversions_value,true,sum,,
unique_reach,false,max,,
average_frequency,false,impression_weighted,,
viewability_rate,false,weighted_ratio,,
