zone,canonical_zone,area,is_canonical,selectable
Africa/Abidjan,Africa/Abidjan,Africa,true,true
Africa/Accra,Africa/Abidjan,Africa,false,true
Africa/Addis_Ababa,Africa/Nairobi,Africa,false,true
Africa/Algiers,Africa/Algiers,Africa,true,true
Africa/Asmara,Africa/Nairobi,Africa,false,true
Africa/Asmera,Africa/Nairobi,Africa,false,true
Africa/Bamako,Africa/Abidjan,Africa,false,true
Africa/Bangui,Africa/Lagos,Africa,false,true
Africa/Banjul,Africa/Abidjan,Africa,false,true
Africa/Bissau,Africa/Bissau,Africa,true,true
Africa/Blantyre,Africa/Maputo,Africa,false,true
Africa/Brazzaville,Africa/Lagos,Africa,false,true
Africa/Bujumbura,Africa/Maputo,Africa,false,true
Africa/Cairo,Africa/Cairo,Africa,true,true
Africa/Casablanca,Africa/Casablanca,Africa,true,true
Africa/Ceuta,Africa/Ceuta,Africa,true,true
Africa/Conakry,Africa/Abidjan,Africa,false,true
Africa/Dakar,Africa/Abidjan,Africa,false,true
Africa/Dar_es_Salaam,Africa/Nairobi,Africa,false,true
Africa/Djibouti,Africa/Nairobi,Africa,false,true
Africa/Douala,Africa/Lagos,Africa,false,true
Africa/El_Aaiun,Africa/El_Aaiun,Africa,true,true
Africa/Freetown,Africa/Abidjan,Africa,false,true
Africa/Gaborone,Africa/Maputo,Africa,false,true
Africa/Harare,Africa/Maputo,Africa,false,true
Africa/Johannesburg,Africa/Johannesburg,Africa,true,true
Africa/Juba,Africa/Juba,Africa,true,true
Africa/Kampala,Africa/Nairobi,Africa,false,true
Africa/Khartoum,Africa/Khartoum,Africa,true,true
Africa/Kigali,Africa/Maputo,Africa,false,true
Africa/Kinshasa,Africa/Lagos,Africa,false,true
Africa/Lagos,Africa/Lagos,Africa,true,true
Africa/Libreville,Africa/Lagos,Africa,false,true
Africa/Lome,Africa/Abidjan,Africa,false,true
Africa/Luanda,Africa/Lagos,Africa,false,true
Africa/Lubumbashi,Africa/Maputo,Africa,false,true
Africa/Lusaka,Africa/Maputo,Africa,false,true
Africa/Malabo,Africa/Lagos,Africa,false,true
Africa/Maputo,Africa/Maputo,Africa,true,true
