scenario,project_id,connector,date,attr_country,attr_market,attr_placement_type,currency,source_decimal_value,net_media_micros,rule_form,rule_category,rule_rate,rule_amount_micros,rule_currency,cond_key,cond_value,tiers_mode,tier_index,tier_threshold_micros,tier_rate,expected_platform_fee_micros,expected_regulatory_tax_micros,expected_wht_gross_up_micros,expected_agency_fee_micros,expected_subtotal_ht_micros,expected_sales_tax_micros,expected_total_ttc_micros,expected_gap_codes,expected_is_complete,notes
ladder_full_fr,__epic41_validation__,__epic41_dsp_a__,2026-06-01,FR,emea,,EUR,12345.670000,12345670000,PERCENTAGE,PLATFORM_FEE,0.030000,,,country,FR,,,,,370370100,381481203,2311327289,1540884859,16949733451,3389946690,20339680141,,true,phase 2 platform 3 pct of NET_MEDIA
ladder_full_fr,__epic41_validation__,__epic41_dsp_a__,2026-06-01,FR,emea,,EUR,12345.670000,12345670000,PERCENTAGE,REGULATORY_TAX,0.030000,,,country,FR,,,,,370370100,381481203,2311327289,1540884859,16949733451,3389946690,20339680141,,true,phase 3 DST 3 pct of the running subtotal
ladder_full_fr,__epic41_validation__,__epic41_dsp_a__,2026-06-01,FR,emea,,EUR,12345.670000,12345670000,GROSS_UP,WHT_GROSS_UP,0.150000,,,country,FR,,,,,370370100,381481203,2311327289,1540884859,16949733451,3389946690,20339680141,,true,phase 4 grossed total 15408848592 minus base 13097521303
ladder_full_fr,__epic41_validation__,__epic41_dsp_a__,2026-06-01,FR,emea,,EUR,12345.670000,12345670000,PERCENTAGE,AGENCY_FEE,0.100000,,,country,FR,,,,,370370100,381481203,2311327289,1540884859,16949733451,3389946690,20339680141,,true,phase 5 agency 10 pct
ladder_full_fr,__epic41_validation__,__epic41_dsp_a__,2026-06-01,FR,emea,,EUR,12345.670000,12345670000,PERCENTAGE,SALES_TAX,0.200000,,,country,FR,,,,,370370100,381481203,2311327289,1540884859,16949733451,3389946690,20339680141,,true,phase 6 VAT 20 pct
known_false_de,__epic41_validation__,__epic41_dsp_a__,2026-06-02,DE,emea,,EUR,12716.040300,12716040300,PERCENTAGE,REGULATORY_TAX,0.030000,,,country,FR,,,,,0,0,0,0,12716040300,699382217,13415422517,,true,NO_MATCH on country so exactly plus zero and NOT a gap
known_false_de,__epic41_validation__,__epic41_dsp_a__,2026-06-02,DE,emea,,EUR,12716.040300,12716040300,PERCENTAGE,PLATFORM_FEE,0.030000,,,connector,__epic41_dsp_b__,,,,,0,0,0,0,12716040300,699382217,13415422517,,true,NO_MATCH on connector so exactly plus zero
known_false_de,__epic41_validation__,__epic41_dsp_a__,2026-06-02,DE,emea,,EUR,12716.040300,12716040300,PERCENTAGE,SALES_TAX,0.055000,,,country,DE,,,,,0,0,0,0,12716040300,699382217,13415422517,,true,exact half-micro 699382216.5 rounds HALF UP to 699382217 where Python bankers round gives 699382216
unresolvable_country,__epic41_validation__,__epic41_dsp_a__,2026-06-01,,,,EUR,5000.000000,5000000000,PERCENTAGE,REGULATORY_TAX,0.030000,,,country,FR,,,,,0,,0,0,,0,,COUNTRY_UNRESOLVED,false,production-normal path for a global or multi-country project
unresolvable_country,__epic41_validation__,__epic41_dsp_a__,2026-06-02,,,,EUR,5000.000000,5000000000,PERCENTAGE,REGULATORY_TAX,0.030000,,,country,FR,,,,,0,,0,0,,0,,COUNTRY_UNRESOLVED,false,production-normal path for a global or multi-country project
unresolvable_country,__epic41_validation__,__epic41_dsp_a__,2026-06-03,,,,EUR,5000.000000,5000000000,PERCENTAGE,REGULATORY_TAX,0.030000,,,country,FR,,,,,0,,0,0,,0,,COUNTRY_UNRESOLVED,false,production-normal path for a global or multi-country project
unresolvable_country,__epic41_validation__,__epic41_dsp_b__,2026-06-01,,,,EUR,5000.000000,5000000000,PERCENTAGE,REGULATORY_TAX,0.030000,,,country,FR,,,,,0,,0,0,,0,,COUNTRY_UNRESOLVED,false,second connector so the gap aggregation and rollup are exercised
unresolvable_country,__epic41_validation__,__epic41_dsp_b__,2026-06-02,,,,EUR,5000.000000,5000000000,PERCENTAGE,REGULATORY_TAX,0.030000,,,country,FR,,,,,0,,0,0,,0,,COUNTRY_UNRESOLVED,false,second connector so the gap aggregation and rollup are exercised
unresolvable_country,__epic41_validation__,__epic41_dsp_b__,2026-06-03,,,,EUR,5000.000000,5000000000,PERCENTAGE,REGULATORY_TAX,0.030000,,,country,FR,,,,,0,,0,0,,0,,COUNTRY_UNRESOLVED,false,second connector so the gap aggregation and rollup are exercised
unresolvable_placement,__epic41_validation__,__epic41_dsp_a__,2026-06-04,FR,emea,,EUR,1000.000000,1000000000,PERCENTAGE,PLATFORM_FEE,0.030000,,,placement_type,video,,,,,,0,0,0,,0,,PLACEMENT_TYPE_UNRESOLVED,false,no placement dimension exists anywhere in fact_daily_kpi
unresolvable_placement,__epic41_validation__,__epic41_dsp_a__,2026-06-05,FR,emea,,EUR,1000.000000,1000000000,PERCENTAGE,PLATFORM_FEE,0.030000,,,made_up_key,x,,,,,,0,0,0,,0,,CONDITION_KEY_UNKNOWN,false,an unrecognised condition key is UNRESOLVED and never silently ignored
cross_currency_refused,__epic41_validation__,__epic41_dsp_a__,2026-06-06,FR,emea,,EUR,1000.000000,1000000000,FLAT,PLATFORM_FEE,,500000000,USD,,,,,,,,0,0,0,,0,,CURRENCY_MISMATCH,false,refused not summed and never converted since FX belongs at read
unresolvable_source_type,__epic41_validation__,__epic41_dsp_a__,2026-06-16,FR,emea,,EUR,1000.000000,1000000000,PERCENTAGE,PLATFORM_FEE,0.030000,,,source_type,PAID_MEDIA,,,,,,0,0,0,,0,,SOURCE_TYPE_UNRESOLVED,false,attr_source_type is NULL on every row today so a source-type-scoped rule must GAP not evaluate known-false
spend_tiers_cliff,__epic41_validation__,__epic41_dsp_a__,2026-05-01,FR,emea,,EUR,8000.000000,8000000000,SPEND_TIERS,PLATFORM_FEE,,,,,,cliff,0,0,0.050000,400000000,0,0,0,8400000000,0,8400000000,,true,cumulative inclusive 8000000000 so band 0 at 5 pct
spend_tiers_cliff,__epic41_validation__,__epic41_dsp_a__,2026-05-02,FR,emea,,EUR,9000.000000,9000000000,SPEND_TIERS,PLATFORM_FEE,,,,,,cliff,0,0,0.050000,450000000,0,0,0,9450000000,0,9450000000,,true,cumulative inclusive 17000000000 so still band 0
spend_tiers_cliff,__epic41_validation__,__epic41_dsp_a__,2026-05-03,FR,emea,,EUR,7000.000000,7000000000,SPEND_TIERS,PLATFORM_FEE,,,,,,cliff,1,20000000000,0.030000,210000000,0,0,0,7210000000,0,7210000000,,true,cumulative inclusive 24000000000 crosses the floor so the WHOLE day is at 3 pct
spend_tiers_marginal,__epic41_validation__,__epic41_dsp_b__,2026-05-01,FR,emea,,EUR,8000.000000,8000000000,SPEND_TIERS,PLATFORM_FEE,,,,,,marginal,0,0,0.050000,400000000,0,0,0,8400000000,0,8400000000,,true,fee(8e9) minus fee(0)
spend_tiers_marginal,__epic41_validation__,__epic41_dsp_b__,2026-05-02,FR,emea,,EUR,9000.000000,9000000000,SPEND_TIERS,PLATFORM_FEE,,,,,,marginal,0,0,0.050000,450000000,0,0,0,9450000000,0,9450000000,,true,fee(17e9) 850000000 minus fee(8e9) 400000000
spend_tiers_marginal,__epic41_validation__,__epic41_dsp_b__,2026-05-03,FR,emea,,EUR,7000.000000,7000000000,SPEND_TIERS,PLATFORM_FEE,,,,,,marginal,1,20000000000,0.030000,270000000,0,0,0,7270000000,0,7270000000,,true,fee(24e9) 1120000000 minus fee(17e9) 850000000 and NOT the cliff 210000000 nor the exclusive-frame 350000000
wht_gross_up,__epic41_validation__,__epic41_dsp_a__,2026-06-07,FR,emea,,EUR,13097.521303,13097521303,GROSS_UP,WHT_GROSS_UP,0.150000,,,,,,,,,0,0,2311327289,0,15408848592,0,15408848592,,true,grossed total 15408848592 rounded once then exact integer subtraction
wht_gross_up,__epic41_validation__,__epic41_dsp_a__,2026-06-08,FR,emea,,EUR,1000.000000,1000000000,GROSS_UP,WHT_GROSS_UP,1.000000,,,,,,,,,0,0,,0,,0,,WHT_RATE_INVALID,false,rate 1.0 must gap and the division must never be evaluated
verification_keep_separate,__epic41_validation__,__epic41_dsp_a__,2026-06-09,FR,emea,,EUR,1000.000000,1000000000,CPM,VERIFICATION,,,,,,,,,,0,0,0,0,1000000000,0,1000000000,,true,VERIFICATION contributes nothing and raises no gap since it is 41.4 KEEP_SEPARATE
micros_exactness,__epic41_validation__,__epic41_dsp_a__,2026-06-10,FR,emea,,EUR,9999999.000007,9999999000007,PERCENTAGE,PLATFORM_FEE,0.000000,,,,,,,,,0,0,0,0,,0,,,true,per-source-row normalisation then integer SUM
micros_exactness,__epic41_validation__,__epic41_dsp_a__,2026-06-10,FR,emea,,EUR,5555555.000003,5555555000003,PERCENTAGE,PLATFORM_FEE,0.000000,,,,,,,,,0,0,0,0,,0,,,true,the pair sums to exactly 15555554000010 micros
datastream_scope,__epic41_validation__,__epic41_dsp_a__,2026-06-11,FR,emea,,EUR,1000.000000,1000000000,PERCENTAGE,PLATFORM_FEE,0.010000,,,,,,,,,10000000,0,0,0,1010000000,0,1010000000,,true,exactly ONE datastream on the connector so the scoped rule fires
datastream_scope,__epic41_validation__,__epic41_dsp_b__,2026-06-11,FR,emea,,EUR,500.000000,500000000,PERCENTAGE,PLATFORM_FEE,0.050000,,,,,,,,,,0,0,0,,0,,DATASTREAM_SCOPE_AMBIGUOUS,false,TWO datastreams on the connector so one is never picked
plan_version_scope,__epic41_validation__,__epic41_dsp_a__,2026-06-12,FR,emea,,EUR,4000.000000,4000000000,PERCENTAGE,PLATFORM_FEE,0.020000,,,,,,,,,80000000,0,0,0,4080000000,0,4080000000,,true,campaign mapped to an active line so coverage weight 1.0
plan_version_scope,__epic41_validation__,__epic41_dsp_a__,2026-06-13,FR,emea,,EUR,1500.000000,1500000000,PERCENTAGE,PLATFORM_FEE,0.020000,,,,,,,,,0,0,0,0,1500000000,0,1500000000,,true,campaign NOT mapped so known-false plus zero micros and NOT a gap
plan_version_scope,__epic41_validation__,__epic41_dsp_b__,2026-06-12,FR,emea,,EUR,4000.000000,4000000000,PERCENTAGE,PLATFORM_FEE,0.020000,,,,,,,,,80000000,0,0,0,4080000000,0,4080000000,,true,C4 guard a three-series connector still resolves because the canonical pick prefers campaign_id
auto_populated_today,__epic41_validation__,__epic41_dsp_a__,2026-06-14,,,,EUR,2000.000000,2000000000,PERCENTAGE,AGENCY_FEE,0.100000,,,,,,,,,0,,0,200000000,,,,COUNTRY_UNRESOLVED,false,the unconditioned agency fee still fires while every country-conditioned rule gaps
market_vs_country_asymmetry,__epic41_validation__,__epic41_dsp_a__,2026-06-15,,emea,,EUR,1000.000000,1000000000,PERCENTAGE,PLATFORM_FEE,0.020000,,,market,emea,,,,,20000000,,0,0,,0,,COUNTRY_UNRESOLVED,false,market resolves so rule A fires while the country-conditioned rule B is UNRESOLVED
market_vs_country_asymmetry,__epic41_validation__,__epic41_dsp_b__,2026-06-15,FR,,,EUR,1000.000000,1000000000,PERCENTAGE,REGULATORY_TAX,0.030000,,,country,FR,,,,,0,30000000,0,0,,0,,MARKET_UNRESOLVED,false,mirror image country resolves and the market-conditioned rule is UNRESOLVED
